Sl. No.,Heads of Crime,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
1,A - IPC Crime,Murder (Sec.302/303 IPC),For gain,18,4,0,0
2,A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,17,0,1,3
3,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,28,8,3,1
4,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,19,2,3,1
5,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0,0,0,0
6,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,8,2,4,2
7,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,1,0,0,0
8,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,1,1,0,0
9,A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0
10,A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,0,0,0,0
11,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0
12,A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,0,0,0,0
13,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,20,0,1,1
14,A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,47,2,7,3
15,A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,1,0,1,0
16,A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,1,0,0,0
17,A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,15,1,3,0
18,A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0
19,A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0
20,A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,10,0,0,1
21,A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,45,9,3,10
22,A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,96,10,8,9
23,A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,0,0,0,0
24,A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0,1,0,0
25,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Other Causes,757,86,59,81
26,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,25,2,2,3
27,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,52,5,5,1
28,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,99,7,14,9
29,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,14,1,1,0
30,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,38,2,4,3
31,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,0,0,0,0
32,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,7,0,0,2
33,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,3,0,0,0
34,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),0,0,0,0
35,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,1,0,0,0
36,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
37,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,26,1,0,2
38,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,7,0,0,1
39,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,0,0,0,0
40,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Gang Rivalry,2,0,0,0
41,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Love Intrigue,17,0,2,1
42,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Professional ,5,0,0,0
43,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Rape,0,0,0,0
44,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Revenge/Enemity,196,24,20,24
45,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Sudden Quarrel,223,17,22,23
46,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Village Dispute,7,1,2,1
47,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Other Causes,1467,134,154,175
48,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Civil Disputes,258,21,29,18
49,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Gain,0,0,0,0
50,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Over Civil Dispute,0,0,0,0
51,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Personal Vendetta or enemity,1,0,0,0
52,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Sexual jealousy,0,0,0,0
53,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Dowry,1,0,0,0
54,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Communalism,0,0,0,0
55,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Casteism,0,0,0,0
56,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Witch Craft (Sorcery),0,0,0,0
57,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Human Sacrifice,0,0,0,0
58,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
59,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Political Reasons,0,0,0,0
60,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Adultery,0,0,0,0
61,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Property Disputes,0,0,0,0
62,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Electoral Gain,1,0,1,0
63,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Gang Rivalry,0,0,0,0
64,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Love Intrigue,0,0,0,0
65,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Professional ,0,0,0,0
66,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Sudden Quarrel,5,1,1,0
67,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Other Causes,54,7,4,6
68,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Gain,0,0,0,0
69,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Over Civil Dispute,1,0,0,0
70,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Personal Vendetta or enemity,0,0,0,0
71,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Sexual jealousy,0,0,0,0
72,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Dowry,0,0,0,0
73,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Communalism,0,0,0,0
74,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Casteism,0,1,0,0
75,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Witch Craft (Sorcery),0,0,0,0
76,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Human Sacrifice,0,0,0,0
77,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
78,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Political Reasons,3,0,0,0
79,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Other Causes,22,1,2,1
80,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Adultery,0,0,0,0
81,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Property Disputes,2,0,1,0
82,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Electoral Gain,1,0,0,0
83,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Gang Rivalry,0,0,0,0
84,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Love Intrigue,0,0,0,0
85,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Professional ,0,0,0,0
86,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Sudden Quarrel,8,0,2,2
87,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Custodial Rape,1,0,0,1
88,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Attempt to Commit,9,0,1,0
89,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By a Gang,7,1,0,0
90,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Parents,0,0,0,0
91,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Hospital Staff,2,1,2,0
92,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Husband During Sepearation,8,1,1,0
93,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Neighbours,31,0,0,5
94,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Relatives,38,6,5,6
95,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",In Jail Custody,0,0,0,0
96,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",In Remand Home,0,0,0,0
97,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",InCest,0,0,0,0
98,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Known Person,303,18,31,38
99,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Unknown Person,6,0,0,0
100,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Due to Other Causes,93,7,12,7
101,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",On Minor,0,0,0,0
102,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Missing - Boy,1856,154,222,236
103,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Missing - Girl,731,69,82,85
104,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Children,5,1,1,0
105,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Cildren for Begging,0,0,0,0
106,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Women,6,0,1,2
107,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Girls for Immoral Purpose,1,1,0,0
108,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of  Others,50,4,10,5
109,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - For Prostitution,0,0,0,0
110,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - Importring of Girl,0,0,0,0
111,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - For other Purpose,7,1,1,0
112,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Espionage,0,0,0,0
113,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Intent to Steal From Child,0,1,0,0
114,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Murder (Homicide),0,0,0,0
115,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Obtain Signature Forcibly,0,0,0,0
116,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Recovering Loan,2,0,0,1
117,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Settling any Disputes,12,0,2,2
118,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Unnatural Lust / Illicit Intercourse,1,0,1,0
119,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Wrongful Confinement,7,0,1,1
120,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Exporting,0,0,0,0
121,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",From Lawful Guardianship,1,0,0,0
122,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Camel Racing Etc.,0,0,0,0
123,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",To Compel For Marriage,16,2,1,1
124,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Slavery,0,0,0,0
125,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Stealing From its Person,0,0,0,0
126,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Others,455,40,45,49
127,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At ATM,0,0,0,0
128,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Residential Premises,24,4,6,3
129,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),On Highways,31,5,3,3
130,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),In Trains,1,0,0,0
131,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Banks,0,0,0,0
132,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Commercial Places / Establishments,7,2,0,2
133,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),On Other Roads,35,2,5,1
134,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),In Other Places,50,5,9,4
135,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),River & Sea,0,0,0,0
136,A - IPC Crime,Preparation And Assembly for Dacoity,NA,113,15,15,7
137,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At ATM,0,0,0,0
138,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Residential Premises,163,11,20,14
139,A - IPC Crime,Robbery (Sec.392 to 394 IPC),On Highways,89,7,12,13
140,A - IPC Crime,Robbery (Sec.392 to 394 IPC),In Trains,4,0,1,0
141,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Banks,3,0,0,1
142,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Commercial Places / Establishments,85,10,14,7
143,A - IPC Crime,Robbery (Sec.392 to 394 IPC),In Other Places,647,46,67,72
144,A - IPC Crime,Robbery (Sec.392 to 394 IPC),Chain Snatching,514,47,51,63
145,A - IPC Crime,Robbery (Sec.392 to 394 IPC),Attempt to Commit,53,2,5,7
146,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,2276,217,217,263
147,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,3,1,0,1
148,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,0,0,0,0
149,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,42,7,3,3
150,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,744,54,84,77
151,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,607,55,63,79
152,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,328,44,39,31
153,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,861,63,89,76
154,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,2,0,0,1
155,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,0,0,0,0
156,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,2,0,1,1
157,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,31,2,3,0
158,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,63,4,7,7
159,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,26,1,2,2
160,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of sand,51,4,7,6
161,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Attempt to commit,132,12,9,10
162,A - IPC Crime,THEFT (Sec.379 to 389 IPC),At ATM,1067,65,101,112
163,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Tractors,8,0,1,1
164,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Communication And Elec. Wire,224,19,26,25
165,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cattle,355,37,42,43
166,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cycle,118,18,21,12
167,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Lorries/Trucks,127,8,12,12
168,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Buses,7,2,1,0
169,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Cars / Jeeps,248,18,29,29
170,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Two Wheelers ,10346,808,1076,1145
171,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobies - of Three Wheelers,249,15,28,24
172,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Accessories of Motor Vehicle,226,19,33,32
173,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Govt. Vehicle,1581,140,185,179
174,A - IPC Crime,THEFT (Sec.379 to 389 IPC),"Electronic Goods (Radio, TV, VCR, Acs, Office Automation Equipments)",1,0,0,1
175,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Fire Arms,7,0,1,1
176,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Explosives,2,0,0,0
177,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Idols,5,0,0,1
178,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Painting,4,0,0,2
179,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultrual - Others,232,28,22,33
180,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Cash,560,41,53,55
181,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Jewellery,1175,79,124,137
182,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Other Items Not Included Above,1732,173,194,253
183,A - IPC Crime,THEFT (Sec.379 to 389 IPC),In Running Train,54,5,8,7
184,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Extortion,195,11,22,25
185,A - IPC Crime,THEFT (Sec.379 to 389 IPC),House Theft,1809,110,213,215
186,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Servant Theft,355,32,40,32
187,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Land Dispute,935,62,83,91
188,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Employee - Govt.,1,0,0,0
189,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Private Sector,2,0,0,0
190,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Public Sector,2,0,0,0
191,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Linguistic,3,0,0,1
192,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Political ,68,0,1,0
193,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Regional,4,1,0,1
194,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Sectarian,0,0,0,0
195,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Students,6,0,3,1
196,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Tribal,1,0,0,0
197,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Due to Village Disputes,12,2,0,0
198,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Communal,4,0,0,0
199,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Industrial,4,1,0,0
200,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Caste,5,0,0,0
201,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Agrarian,2,0,0,0
202,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Others,2219,241,241,238
203,A - IPC Crime,"OFFENCES AGAINST STATE (Sec. 121 to 130, except 124(A) IPC)",NA,0,0,0,0
204,A - IPC Crime,"OFFENCES PROMOTING ENEMITY (Sec. 153(A), 154(B) & 505 IPC",NA,84,7,12,17
205,A - IPC Crime,CRIMINAL BREACH OF TRUST,NA,407,53,52,39
206,A - IPC Crime,CHEATING (Sec.417 to 420 IPC),NA,5726,496,619,662
207,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )","Stock Share, Debentrue Certificate",0,0,0,0
208,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Usage of Counterfeit Stamp,0,0,0,0
209,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Coins (Sec 231 to 254 IPC),0,0,0,0
210,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Stamps (Sec.255 to 263(A) IPC),0,0,0,0
211,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Currency Notes And Bank Notes (Sec. 489 (A) to 489 (E) IPC),20,3,1,1
212,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Others,1,0,0,1
213,A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Forgery  ,297,29,27,38
214,A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Organised (Racket),1,0,0,0
215,A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Forgery of Passport,0,0,0,0
216,A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Other Forgery,147,21,16,14
217,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Acid Attack (326(a)),2,0,0,0
218,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Attempt to Acid Attack (326(b)),1,0,1,0
219,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Grievous Hurt,1169,103,116,107
220,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Simple Hurt,13431,1137,1460,1392
221,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Custodial,1,0,0,0
222,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Attempt to Commit,0,0,0,0
223,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Alcoholic Drink (Liquor),1,1,0,0
224,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Cement & Chemical/Fertiliser,0,0,0,0
225,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Cosmetics,0,0,0,0
226,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Diesel,0,0,0,0
227,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Drug/Medicine,1,0,0,0
228,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Edible Oil,2,0,1,0
229,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Food Grain,1,0,0,1
230,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Kerosene,0,0,0,0
231,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Life Saving Drug,0,0,0,0
232,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Mobile Oil,0,0,0,0
233,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Petrol,0,0,0,0
234,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Petroleum Product,0,0,0,0
235,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Soft Drinks,1,0,0,1
236,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Spices,0,0,0,0
237,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Others,15,1,1,1
238,A - IPC Crime,AFFRAY (Sec. 160 IPC ),NA,467,41,67,23
239,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Agricultural Produce,51,4,0,5
240,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Attemp to Commit,4,0,0,2
